Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT
X221857-GM2211189-1-TWE-F-EGG4_FR	X221857-GM2211189-1-TWE-F-EGG4	242.0	68.0	2.0	241997981.0	261.877577	108.630201	66661144.0	FR	27.0	53.0	79.0	107.0	137.0	167.0	203.0	249.0	341.0	713.0
X221878-GM2211537-1-TWE-M-EGG4_FR	X221878-GM2211537-1-TWE-M-EGG4	241.0	69.0	2.0	245873110.0	258.761253	105.956695	52388171.0	FR	27.0	55.0	81.0	109.0	139.0	169.0	205.0	249.0	333.0	665.0
X221912-GM2210738-1-TWE-M-EGG4_FR	X221912-GM2210738-1-TWE-M-EGG4	251.0	68.0	2.0	242882368.0	270.830668	108.158605	51775818.0	FR	27.0	55.0	81.0	109.0	137.0	169.0	205.0	251.0	341.0	693.0
X222001-GM2211415-1-TWE-M-EGG4_FR	X222001-GM2211415-1-TWE-M-EGG4	252.0	65.0	2.0	243082122.0	269.974882	102.74969	76839885.0	FR	27.0	51.0	77.0	103.0	131.0	161.0	195.0	241.0	325.0	651.0
X222348-GM2216585-1-TWE-M-EGG4_FR	X222348-GM2216585-1-TWE-M-EGG4	229.0	55.0	2.0	239354609.0	243.829885	90.655902	38590409.0	FR	21.0	43.0	65.0	87.0	111.0	139.0	169.0	211.0	283.0	597.0
X223122-gm2221969-1-TWE-F-EGG4_FR	X223122-gm2221969-1-TWE-F-EGG4	232.0	72.0	2.0	245229100.0	252.880227	113.849291	64546415.0	FR	29.0	57.0	85.0	115.0	145.0	177.0	215.0	261.0	355.0	743.0
X223375-GM2224964-1-TWE-M-EGG4_FR	X223375-GM2224964-1-TWE-M-EGG4	238.0	68.0	2.0	249002652.0	256.837796	106.799105	76679536.0	FR	27.0	53.0	81.0	107.0	137.0	167.0	203.0	247.0	333.0	689.0
X223509-GM2225620-1-TWE-F-EGG4_FR	X223509-GM2225620-1-TWE-F-EGG4	236.0	68.0	2.0	248231874.0	254.018765	105.291759	68190979.0	FR	27.0	53.0	81.0	107.0	137.0	167.0	203.0	247.0	331.0	663.0
X223925-GM2228346-1-TWE-M-EGG4_FR	X223925-GM2228346-1-TWE-M-EGG4	237.0	68.0	2.0	245342040.0	254.454988	104.840249	61360602.0	FR	27.0	53.0	81.0	109.0	137.0	169.0	203.0	247.0	329.0	653.0
X223974-GM2205007-1-TWE-F-EGG4_FR	X223974-GM2205007-1-TWE-F-EGG4	221.0	61.0	2.0	243082211.0	237.283396	95.167671	74032041.0	FR	25.0	49.0	73.0	97.0	123.0	151.0	183.0	225.0	299.0	597.0
X223977-GM2216916-1-TWE-M-EGG4_FR	X223977-GM2216916-1-TWE-M-EGG4	228.0	68.0	2.0	247233055.0	246.502304	105.472924	59729965.0	FR	27.0	53.0	81.0	107.0	137.0	167.0	203.0	245.0	331.0	667.0
X223981-GM2300340-1-TWE-M-EGG4_FR	X223981-GM2300340-1-TWE-M-EGG4	237.0	69.0	2.0	248760045.0	254.7851	106.628052	86922391.0	FR	27.0	55.0	81.0	109.0	139.0	171.0	205.0	251.0	333.0	669.0
X224007-GM2227212-1-TWE-F-EGG4_FR	X224007-GM2227212-1-TWE-F-EGG4	236.0	68.0	2.0	247232962.0	254.55668	106.035193	60955666.0	FR	27.0	53.0	81.0	109.0	137.0	169.0	203.0	249.0	333.0	669.0
X224082-GM2203889-1-TWE-M-EGG4_FR	X224082-GM2203889-1-TWE-M-EGG4	221.0	62.0	2.0	247232976.0	236.853687	95.673046	65227855.0	FR	25.0	49.0	73.0	99.0	125.0	153.0	187.0	227.0	301.0	595.0
X224119-GM2301435-1-TWE-F-EGG4_FR	X224119-GM2301435-1-TWE-F-EGG4	236.0	69.0	2.0	248760143.0	253.978015	107.753234	67816896.0	FR	27.0	55.0	81.0	109.0	139.0	171.0	207.0	253.0	337.0	681.0
X224129-GM2301646-1-TWE-M-EGG4_FR	X224129-GM2301646-1-TWE-M-EGG4	236.0	70.0	2.0	240419927.0	254.338766	107.951331	60949933.0	FR	27.0	55.0	83.0	111.0	141.0	173.0	209.0	253.0	337.0	679.0
X224246-GM2302230-1-TWE-M-EGG4_FR	X224246-GM2302230-1-TWE-M-EGG4	245.0	69.0	2.0	247233127.0	263.744899	108.153414	70469013.0	FR	27.0	55.0	81.0	109.0	139.0	171.0	207.0	253.0	339.0	687.0
X224247-GM2302111-1-TWE-M-EGG4_FR	X224247-GM2302111-1-TWE-M-EGG4	242.0	69.0	2.0	243082162.0	259.982732	106.39332	81797177.0	FR	27.0	55.0	81.0	109.0	139.0	169.0	205.0	249.0	333.0	669.0
X224264-GM2221424-1-TWE-M-EGG4_FR	X224264-GM2221424-1-TWE-M-EGG4	232.0	69.0	2.0	243081285.0	250.203847	107.460685	65530087.0	FR	27.0	55.0	83.0	111.0	139.0	171.0	207.0	251.0	335.0	677.0
X224278-GM2302443-1-TWE-M-EGG4_FR	X224278-GM2302443-1-TWE-M-EGG4	246.0	70.0	2.0	243082098.0	264.415545	108.122224	56380125.0	FR	27.0	55.0	83.0	111.0	141.0	173.0	209.0	255.0	341.0	675.0
X224287-GM2302336-1-TWE-F-EGG4_FR	X224287-GM2302336-1-TWE-F-EGG4	249.0	69.0	2.0	241632495.0	267.191806	107.273578	56158927.0	FR	27.0	55.0	81.0	109.0	139.0	169.0	205.0	251.0	337.0	677.0
X224321-GM2302874-1-TWE-F-EGG4_FR	X224321-GM2302874-1-TWE-F-EGG4	245.0	71.0	2.0	242555894.0	263.937902	109.958921	56747300.0	FR	29.0	57.0	85.0	113.0	143.0	175.0	211.0	257.0	345.0	691.0
X224362-GM2303082-1-TWE-M-EGG4_FR	X224362-GM2303082-1-TWE-M-EGG4	242.0	66.0	2.0	242551082.0	259.403182	102.833912	59620552.0	FR	27.0	51.0	77.0	105.0	133.0	163.0	197.0	241.0	323.0	649.0
X224374-GM2302517-1-TWE-M-EGG4_FR	X224374-GM2302517-1-TWE-M-EGG4	245.0	70.0	2.0	246586114.0	264.117498	109.121602	64145290.0	FR	29.0	55.0	83.0	111.0	141.0	173.0	209.0	255.0	343.0	687.0
X224378-GM2302909-1-TWE-F-EGG4_FR	X224378-GM2302909-1-TWE-F-EGG4	243.0	71.0	2.0	244624974.0	261.763605	109.56311	70390608.0	FR	29.0	55.0	83.0	113.0	143.0	175.0	211.0	257.0	343.0	689.0
X224436-GM2301584-1-TWE-M-EGG4_FR	X224436-GM2301584-1-TWE-M-EGG4	240.0	68.0	2.0	242555803.0	257.921127	106.23986	71037751.0	FR	27.0	53.0	81.0	109.0	137.0	169.0	203.0	249.0	333.0	671.0
X224551-GM2303393-1-TWE-M-EGG4_FR	X224551-GM2303393-1-TWE-M-EGG4	247.0	66.0	2.0	248760056.0	265.403203	104.018568	68374697.0	FR	27.0	53.0	79.0	105.0	133.0	165.0	199.0	245.0	329.0	655.0
X224563-GM2303608-1-TWE-F-EGG4_FR	X224563-GM2303608-1-TWE-F-EGG4	254.0	68.0	2.0	248760721.0	272.54832	107.454676	74709188.0	FR	27.0	53.0	81.0	107.0	137.0	169.0	203.0	249.0	339.0	687.0
X224757-GM2221065-1-TWE-F-EGG4_FR	X224757-GM2221065-1-TWE-F-EGG4	231.0	69.0	2.0	246510128.0	248.737698	106.235185	66921580.0	FR	27.0	55.0	81.0	109.0	139.0	171.0	205.0	249.0	333.0	663.0
X224761-GM2300126-1-TWE-M-EGG4_FR	X224761-GM2300126-1-TWE-M-EGG4	240.0	70.0	2.0	248760075.0	258.646209	108.97975	63079091.0	FR	27.0	55.0	83.0	111.0	141.0	173.0	209.0	255.0	341.0	689.0
