Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
X221337-GM2210142-1-TWE-M-EGG4_S30_L002_R2	X221337-GM2210142-1-TWE-M-EGG4_S30_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	40474962.0	0.0	35-151	51.0	82.98982481737607	148.15817709723854	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221350-GM2211157-1-TWE-M-EGG4_S43_L001_R1	X221350-GM2211157-1-TWE-M-EGG4_S43_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	31178333.0	0.0	35-151	50.0	84.262237589309	147.8069699557061	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221350-GM2211157-1-TWE-M-EGG4_S43_L001_R2	X221350-GM2211157-1-TWE-M-EGG4_S43_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	31178333.0	0.0	35-151	50.0	84.8688560246716	147.79500478745928	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221350-GM2211157-1-TWE-M-EGG4_S43_L002_R1	X221350-GM2211157-1-TWE-M-EGG4_S43_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	31398384.0	0.0	35-151	50.0	84.58848807395775	147.82825198901955	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221350-GM2211157-1-TWE-M-EGG4_S43_L002_R2	X221350-GM2211157-1-TWE-M-EGG4_S43_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	31398384.0	0.0	35-151	50.0	85.1064052283034	147.81695940147748	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221352-GM2211136-1-TWE-M-EGG4_S46_L001_R1	X221352-GM2211136-1-TWE-M-EGG4_S46_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	32096502.0	0.0	35-151	50.0	85.40774393204231	147.7310382919609	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221352-GM2211136-1-TWE-M-EGG4_S46_L001_R2	X221352-GM2211136-1-TWE-M-EGG4_S46_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	32096502.0	0.0	35-151	50.0	85.47176312142086	147.7199095402982	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221352-GM2211136-1-TWE-M-EGG4_S46_L002_R1	X221352-GM2211136-1-TWE-M-EGG4_S46_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	32357455.0	0.0	35-151	50.0	85.56060949133293	147.74544404063917	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221352-GM2211136-1-TWE-M-EGG4_S46_L002_R2	X221352-GM2211136-1-TWE-M-EGG4_S46_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	32357455.0	0.0	35-151	50.0	85.80805426198476	147.7356050097265	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221353-GM2210388-1-TWE-F-EGG4_S42_L001_R1	X221353-GM2210388-1-TWE-F-EGG4_S42_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	25849357.0	0.0	35-151	50.0	86.75591640505638	147.49201370850346	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
